POZO,FECHA,AGUA_INYECTADA,PIA
well_11,29/02/2020,1493,667
well_11,1/03/2020,1483,719
well_11,2/03/2020,1566,942
well_11,3/03/2020,1811,989
well_11,4/03/2020,1268,684
well_11,5/03/2020,966,657
well_11,6/03/2020,1649,728
well_11,7/03/2020,1354,750
well_11,8/03/2020,1674,708
well_11,9/03/2020,1623,680
well_11,10/03/2020,1598,725
well_11,11/03/2020,1601,730
well_11,12/03/2020,971,730
well_11,13/03/2020,1603,728
well_11,14/03/2020,588,280
well_11,15/03/2020,979,411
well_11,16/03/2020,1298,638
well_11,17/03/2020,1341,541
well_11,18/03/2020,1477,656
well_11,19/03/2020,938,641
well_11,20/03/2020,566,403
well_11,21/03/2020,197,135
well_11,22/03/2020,0,0
well_11,23/03/2020,0,0
well_11,24/03/2020,1218,456
well_11,25/03/2020,1579,648
well_11,26/03/2020,1550,635
well_11,27/03/2020,1470,918
well_11,28/03/2020,1340,802
well_11,29/03/2020,1346,492
well_11,30/03/2020,1319,491
well_11,31/03/2020,1316,489
well_11,1/04/2020,1279,495
well_11,2/04/2020,1267,492
well_11,3/04/2020,1246,495
well_11,4/04/2020,1240,492
well_11,5/04/2020,1226,808
well_11,6/04/2020,1220,808
well_11,7/04/2020,886,327
well_11,8/04/2020,1398,546
well_11,9/04/2020,1395,545
well_11,10/04/2020,1383,550
well_11,11/04/2020,1150,551
well_11,12/04/2020,1349,528
well_11,13/04/2020,1311,528
well_11,14/04/2020,1250,530
well_11,15/04/2020,1308,522
well_11,16/04/2020,745,748
well_11,17/04/2020,1052,670
well_11,18/04/2020,500,216
well_11,19/04/2020,0,0
well_11,20/04/2020,0,0
well_11,21/04/2020,0,0
well_11,22/04/2020,0,0
well_11,23/04/2020,0,0
well_11,24/04/2020,0,0
well_11,25/04/2020,0,0
well_11,26/04/2020,214,115
well_11,27/04/2020,1460,573
well_11,28/04/2020,1418,562
well_11,29/04/2020,1362,577
well_11,30/04/2020,1106,381
well_11,1/05/2020,1175,943
